
Thread 3 => 1,16'ye 6 eklendi.
Thread 9 => 10,10'ye 4 eklendi.
Thread 4 => 5,14'ye 5 eklendi.
Thread 8 => 17,14'ye 5 eklendi.
Thread 2 => 6,3'ye 1 eklendi.
Thread1 => 1,4'ye 3 eklendi.
Thread 6 => 17,2'ye 6 eklendi.
Thread 7 => 14,15'ye 7 eklendi.
Thread 3 => 2,15'ye 7 eklendi.
Thread 4 => 5,17'ye 6 eklendi.
Thread 8 => 17,15'ye 6 eklendi.
Thread 2 => 6,4'ye 4 eklendi.
Thread 6 => 17,3'ye 4 eklendi.
Thread1 => 3,2'ye 3 eklendi.
Thread 7 => 15,14'ye 7 eklendi.
Thread 5 => 14,3'ye 2 eklendi.
Thread 4 => 5,18'ye 3 eklendi.
Thread 3 => 2,16'ye 2 eklendi.
Thread 8 => 17,17'ye 3 eklendi.
Thread 2 => 6,5'ye 9 eklendi.
Thread 6 => 17,5'ye 9 eklendi.
Thread 7 => 15,15'ye 2 eklendi.
Thread 4 => 6,15'ye 6 eklendi.
Thread 3 => 2,17'ye 9 eklendi.
Thread 5 => 15,3'ye 7 eklendi.
Thread 8 => 17,18'ye 2 eklendi.
Thread 7 => 15,17'ye 8 eklendi.
Thread 2 => 7,4'ye 2 eklendi.
Thread 6 => 17,6'ye 8 eklendi.
Thread 4 => 6,17'ye 5 eklendi.
Thread 5 => 15,5'ye 1 eklendi.
Thread 8 => 18,15'ye 3 eklendi.
Thread 3 => 3,15'ye 9 eklendi.
Thread 7 => 15,18'ye 9 eklendi.
Thread 6 => 18,3'ye 3 eklendi.
Thread 5 => 15,6'ye 9 eklendi.
Thread 3 => 3,17'ye 2 eklendi.
Thread 7 => 16,13'ye 2 eklendi.
Thread 6 => 18,5'ye 6 eklendi.
Thread 5 => 16,4'ye 8 eklendi.
Thread 3 => 3,18'ye 7 eklendi.
Thread 7 => 16,14'ye 6 eklendi.
Thread 5 => 16,6'ye 7 eklendi.
Thread 7 => 16,16'ye 9 eklendi.
Thread 3 => 4,16'ye 8 eklendi.
Thread 5 => 16,7'ye 3 eklendi.
Thread 2 => 5,5'ye 4 eklendi.
Thread 3 => 3,14'ye 8 eklendi.
Thread 5 => 12,7'ye 2 eklendi.
Thread 10 => 12,7'ye 2 eklendi.
Thread 8 => 18,17'ye 9 eklendi.
Thread 7 => 14,12'ye 2 eklendi.
Thread 5 => 14,5'ye 4 eklendi.
Thread 4 => 5,15'ye 1 eklendi.
Thread 10 => 14,12'ye 2 eklendi.
Thread 7 => 14,17'ye 1 eklendi.
Thread 5 => 15,2'ye 8 eklendi.
Thread Last => 0,0'ye 2 eklendi.
Thread1 => 0,1'ye 3 eklendi.
Thread 2 => 8,2'ye 2 eklendi.
Thread Last => 0,2'ye 5 eklendi.
Thread1 => 2,7'ye 5 eklendi.
Thread1 => 1,7'ye 2 eklendi.
Thread 9 => 6,7'ye 8 eklendi.
Thread 2 => 6,7'ye 8 eklendi.
Thread 9 => 6,13'ye 9 eklendi.
Thread 2 => 7,6'ye 5 eklendi.
Thread 9 => 7,6'ye 5 eklendi.
Thread 2 => 7,8'ye 7 eklendi.
Thread 9 => 7,8'ye 7 eklendi.
Thread 9 => 6,12'ye 3 eklendi.
Thread 10 => 12,8'ye 5 eklendi.
Thread1 => 0,7'ye 7 eklendi.
Thread 2 => 6,0'ye 5 eklendi.
Thread 10 => 14,8'ye 8 eklendi.
Thread 9 => 8,8'ye 3 eklendi.
Thread 2 => 6,1'ye 6 eklendi.
Thread1 => 0,8'ye 6 eklendi.
Thread 6 => 19,6'ye 5 eklendi.
Thread 4 => 6,16'ye 1 eklendi.
Thread 3 => 0,14'ye 3 eklendi.
Thread 2 => 8,0'ye 1 eklendi.
Thread1 => 2,0'ye 6 eklendi.
Thread 6 => 19,7'ye 1 eklendi.
Thread 4 => 6,19'ye 2 eklendi.
Thread 3 => 4,13'ye 1 eklendi.
Thread 2 => 8,6'ye 6 eklendi.
Thread1 => 4,2'ye 6 eklendi.
Thread 4 => 6,20'ye 8 eklendi.
Thread 3 => 4,14'ye 9 eklendi.
Thread 4 => 7,13'ye 6 eklendi.
Thread 3 => 4,18'ye 2 eklendi.
Thread 4 => 7,16'ye 3 eklendi.
Thread 3 => 4,19'ye 6 eklendi.
Thread Last => 0,2'ye 6 eklendi.
Thread1 => 0,8'ye 7 eklendi.
Thread1 => 2,0'ye 5 eklendi.
Thread1 => 2,8'ye 6 eklendi.
Thread1 => 4,1'ye 6 eklendi.
Thread 9 => 6,8'ye 3 eklendi.
Thread 2 => 6,1'ye 8 eklendi.
Thread 9 => 7,6'ye 7 eklendi.
Thread 2 => 6,7'ye 5 eklendi.
Thread 9 => 8,6'ye 6 eklendi.
Thread 2 => 7,0'ye 1 eklendi.
Thread 2 => 7,2'ye 5 eklendi.
Thread 2 => 7,7'ye 8 eklendi.
Thread 2 => 8,0'ye 3 eklendi.
Thread Last => 0,2'ye 8 eklendi.
Thread1 => 1,0'ye 1 eklendi.
Thread 2 => 5,2'ye 1 eklendi.
Thread1 => 1,2'ye 4 eklendi.
Thread 2 => 5,6'ye 9 eklendi.
Thread1 => 2,0'ye 5 eklendi.
Thread 2 => 7,2'ye 5 eklendi.
Thread1 => 2,1'ye 6 eklendi.
Thread1 => 3,3'ye 9 eklendi.
Thread1 => 3,5'ye 2 eklendi.
Thread1 => 3,6'ye 7 eklendi.
Thread1 => 4,1'ye 8 eklendi.
Thread1 => 4,2'ye 6 eklendi.
Thread1 => 4,4'ye 7 eklendi.
Thread Last => 0,0'ye 3 eklendi.
Thread Last => 0,1'ye 6 eklendi.
Thread1 => 0,8'ye 7 eklendi.
Thread1 => 2,8'ye 6 eklendi.
Thread1 => 4,2'ye 6 eklendi.
Thread 9 => 6,8'ye 3 eklendi.
Thread 2 => 6,8'ye 3 eklendi.
Thread 9 => 7,6'ye 7 eklendi.
Thread 2 => 7,6'ye 7 eklendi.
Thread 9 => 8,6'ye 6 eklendi.
Thread 2 => 8,1'ye 3 eklendi.
Thread 9 => 7,13'ye 6 eklendi.
Thread 10 => 11,7'ye 3 eklendi.
Thread 2 => 6,0'ye 6 eklendi.
Thread1 => 3,6'ye 9 eklendi.
Thread 4 => 7,13'ye 6 eklendi.
Thread 10 => 12,12'ye 6 eklendi.
Thread1 => 4,7'ye 7 eklendi.
Thread 2 => 6,1'ye 8 eklendi.
Thread 7 => 12,12'ye 6 eklendi.
Thread 2 => 6,7'ye 5 eklendi.
Thread 7 => 14,20'ye 6 eklendi.
Thread 2 => 7,1'ye 9 eklendi.
Thread 2 => 7,7'ye 8 eklendi.
Thread1 => 0,6'ye 5 eklendi.
Thread 2 => 5,2'ye 8 eklendi.
Thread1 => 0,7'ye 2 eklendi.
Thread 2 => 5,3'ye 9 eklendi.
Thread 2 => 5,6'ye 1 eklendi.
Thread1 => 1,6'ye 8 eklendi.
Thread1 => 3,3'ye 2 eklendi.
Thread 8 => 19,18'ye 6 eklendi.
Thread1 => 3,5'ye 7 eklendi.
Thread1 => 4,1'ye 1 eklendi.
Thread1 => 4,4'ye 8 eklendi.
Thread1 => 4,6'ye 4 eklendi.
Thread Last => 0,1'ye 7 eklendi.
Thread1 => 0,8'ye 6 eklendi.
Thread 9 => 6,8'ye 3 eklendi.
Thread 2 => 6,8'ye 3 eklendi.
Thread 9 => 8,6'ye 6 eklendi.
Thread 2 => 8,1'ye 3 eklendi.
Thread 10 => 11,7'ye 3 eklendi.
Thread 9 => 7,13'ye 6 eklendi.
